psi_g_formula_version,w_H,w_D,w_M,gamma,kendall_tau_vs_convention,top_ansatz,score_HEA,score_SU2_equiv,score_Sn_equiv,score_U1_broken,score_U1_equiv
v12_gated,0.1492616547084202,0.5701640224245103,0.2805743228670696,3.0,1.0,Sn_equiv,0.6257068883012981,0.5519653342021719,0.6770081694193045,0.5979606850806958,0.5971932573726796
v12_gated,0.093004518576816,0.8141646373561465,0.09283084406703764,3.0,0.2,Sn_equiv,0.5834429545777899,0.5854413771293158,0.6333706603858252,0.5790821778135531,0.5810702737270863
v12_gated,0.6224746261971303,0.2035305160456579,0.17399485775721182,3.0,1.0,Sn_equiv,0.7006028372595599,0.5016728830355506,0.7965388837988723,0.6439372206384154,0.621426871555051
v12_gated,0.4411400552352739,0.23185387433941154,0.3270060704253146,3.0,1.0,Sn_equiv,0.6905741647329331,0.5055549716277148,0.7672050984415911,0.6338260342758241,0.6195520303705878
v12_gated,0.4727373640771878,0.2139603433583455,0.3133022925644669,3.0,1.0,Sn_equiv,0.6944786178170463,0.5031006347004987,0.7742191606812925,0.6364551213832396,0.6207349113049463
v12_gated,0.1511987083788234,0.7639671808755194,0.0848341107456572,3.0,1.0,Sn_equiv,0.5935040134034367,0.5785554669371962,0.6488204817437762,0.58507821218935,0.5843880832365758
v12_gated,0.29387753707324654,0.08143162281266014,0.6246908401140934,3.0,1.0,Sn_equiv,0.7112972146850671,0.4849136246300366,0.7688472694617958,0.6372210476049314,0.629488141589514
v12_gated,0.42090694784088706,0.450020389336723,0.12907266282239008,3.0,1.0,Sn_equiv,0.6536661640255995,0.5354873150629684,0.7323621548812623,0.6183085945657005,0.6051366706949107
v12_gated,0.15764709647906447,0.4630456192132766,0.3793072843076589,3.0,1.0,Sn_equiv,0.6437830964687674,0.5372687060902614,0.6939008033468532,0.6055094767051294,0.6042710801526376
v12_gated,0.5352971559653462,0.23084273487047144,0.23386010916418237,3.0,1.0,Sn_equiv,0.6935017892064493,0.5054182769983446,0.7804255609587354,0.638159642093985,0.6196206175427132
v12_gated,0.49309278755622266,0.17661375628330997,0.3302934561604675,3.0,1.0,Sn_equiv,0.7012916947292481,0.49797706561341426,0.7825288342485781,0.6398767685002712,0.6232029072287755
v12_gated,0.2532699337999242,0.43396496495643905,0.3127651012436367,3.0,1.0,Sn_equiv,0.6514260058194742,0.533280862622609,0.7114462750993215,0.6117880382232981,0.6061943399626458
v12_gated,0.6736405562651344,0.3235435354959677,0.002815908238897871,3.0,1.0,Sn_equiv,0.6821254253701114,0.5181399595271725,0.7860205211696787,0.6382235294512998,0.6134981836076085
v12_gated,0.24871835473933823,0.5972179841507972,0.1540636611098647,3.0,1.0,Sn_equiv,0.6241182236583138,0.5556793290958895,0.6868435141281922,0.6006561489036837,0.5954075912701611
v12_gated,0.18305647834830704,0.45188986848708684,0.36505365316460603,3.0,1.0,Sn_equiv,0.6463846677250612,0.53573866920232,0.6990664594395802,0.6074072854408795,0.6050086569930987
v12_gated,0.2611320260890828,0.38227261125241735,0.35659536265849984,3.0,1.0,Sn_equiv,0.66026089493759,0.5261887622802247,0.7201279032473111,0.615603742366252,0.6096099718699164
v12_gated,0.198388575193925,0.6540410982441228,0.14757032656195207,3.0,1.0,Sn_equiv,0.6131847562755854,0.563474459677726,0.6715126603355518,0.5945730034763901,0.5916521513131427
v12_gated,0.19511020501691875,0.42714747796512365,0.3777423170179575,3.0,1.0,Sn_equiv,0.6508564194182264,0.5323442357863882,0.7043728876386056,0.6096092778406743,0.6066436955334387
v12_gated,0.2657270661986081,0.34339410475206283,0.390878829049329,3.0,1.0,Sn_equiv,0.6668671037275465,0.5208546708267505,0.7264744709722717,0.618413863567728,0.6121788891510438
v12_gated,0.33169675972777163,0.34408379705596853,0.3242194432162597,3.0,1.0,Sn_equiv,0.6686855708979892,0.5209507236412458,0.7355318891727254,0.6213565681774436,0.61213456455305
